Start at 3431
266647.00,-74.00,-1.00,18.00,Direct
267831.00,-180.00,-3.73,6.00,degress
268007.00,-90.00,-2.00,6.00,Direct
269181.00,-144.00,-1.87,18.00,degress
269366.00,-72.00,-1.00,18.00,Direct
273554.00,-50.00,9.88,21.00,degress
273730.00,-25.00,5.00,21.00,Direct
274907.00,-22.00,17.77,17.00,degress
275091.00,-11.00,9.00,17.00,Direct
276275.00,-20.00,17.77,16.00,degress
276453.00,-10.00,9.00,16.00,Direct
277632.00,-38.00,15.80,22.00,degress
277817.00,-19.00,8.00,22.00,Direct
279001.00,-78.00,5.93,26.00,degress
279179.00,-39.00,3.00,26.00,Direct
280356.00,-82.00,1.98,26.00,degress
280541.00,-41.00,1.00,26.00,Direct
281738.00,-72.00,1.98,26.00,degress
281914.00,-36.00,1.00,26.00,Direct
283090.00,-46.00,7.90,24.00,degress
283281.00,-23.00,4.00,24.00,Direct
284457.00,-68.00,5.93,25.00,degress
284634.00,-34.00,3.00,25.00,Direct
285810.00,-82.00,0.00,26.00,degress
286002.00,-41.00,0.00,26.00,Direct
287179.00,-18.00,15.80,17.00,degress
287357.00,-9.00,8.00,17.00,Direct
288536.00,-78.00,3.95,27.00,degress
288728.00,-39.00,2.00,27.00,Direct
289905.00,-30.00,13.82,18.00,degress
290082.00,-15.00,7.00,18.00,Direct
293267.00,-54.00,11.85,21.00,degress
293458.00,-27.00,6.00,21.00,Direct
298642.00,-88.00,0.00,24.00,degress
298818.00,-44.00,0.00,24.00,Direct
299996.00,-104.00,1.98,26.00,degress
300186.00,-52.00,1.00,26.00,Direct
301364.00,-82.00,1.98,34.00,degress
301540.00,-41.00,1.00,34.00,Direct
303719.00,-98.00,0.00,26.00,degress
303909.00,-49.00,0.00,26.00,Direct
307090.00,-94.00,0.00,26.00,degress
307267.00,-47.00,0.00,26.00,Direct
308446.00,-94.00,0.00,27.00,degress
308636.00,-47.00,0.00,27.00,Direct
309811.00,-96.00,0.00,26.00,degress
309987.00,-48.00,0.00,26.00,Direct
311164.00,-96.00,1.98,27.00,degress
311355.00,-48.00,1.00,27.00,Direct
312532.00,-96.00,0.00,27.00,degress
312710.00,-48.00,0.00,27.00,Direct
313886.00,-96.00,0.00,28.00,degress
314079.00,-48.00,0.00,28.00,Direct
316258.00,-92.00,0.00,27.00,degress
316435.00,-46.00,0.00,27.00,Direct
317613.00,-90.00,0.00,27.00,degress
317803.00,-45.00,0.00,27.00,Direct
318981.00,-88.00,0.00,27.00,degress
319159.00,-44.00,0.00,27.00,Direct
321342.00,-90.00,1.98,27.00,degress
321532.00,-45.00,1.00,27.00,Direct
323713.00,-92.00,1.98,27.00,degress
323890.00,-46.00,1.00,27.00,Direct
326070.00,-92.00,1.98,27.00,degress
326261.00,-46.00,1.00,27.00,Direct
327439.00,-90.00,1.98,27.00,degress
327616.00,-45.00,1.00,27.00,Direct
328794.00,-92.00,1.98,28.00,degress
328985.00,-46.00,1.00,28.00,Direct
330164.00,-92.00,1.98,27.00,degress
330342.00,-46.00,1.00,27.00,Direct
331522.00,-92.00,1.98,28.00,degress
331714.00,-46.00,1.00,28.00,Direct
332896.00,-92.00,3.95,28.00,degress
